osm_id,osm_type,name,brand,operator,addr_full,addr_street,addr_housenumber,addr_city,addr_state,addr_postcode,opening_hours,phone,website,lat,lon,source,street_address,city,page_url
9403941020,node,Tienda D1,,,,,,,,,Mo-Su 06:00-21:00,,,7.0659489,-73.1683407,osm,,,
9404090823,node,Tienda D1,,,,,,,,,,,,6.3145481,-73.9484167,osm,,,
9404551480,node,D1,,,,,,,,,,,,3.432094,-76.5088241,osm,,,
9404615429,node,D1,,,,,,,,,,,,3.4317876,-76.5022302,osm,,,
9404661169,node,D1,,,,,,,,,,,,3.4793806,-76.5189093,osm,,,
9404664800,node,D1,,,,,,,,,,,,3.4815558,-76.4996374,osm,,,
9408693317,node,Tienda D1,,,,Calle 17 Norte,,,,,Mo-Su 07:00-21:00,,,7.1531018,-73.1340424,osm,,,
9413746217,node,D1,D1,,,Calle 33,,,,,Mo-Sa 07:00-20:00; Su 08:00-18:00,,,7.1209344,-73.1251448,osm,,,
9416635317,node,Tienda D1,,,,Carrera 5,,,,,Mo-Fr 06:00-20:00; Sa 06:00-21:00; Su 06:00-19:00,,,6.9850631,-73.0520087,osm,,,
9424052417,node,Tienda D1,,,,Carrera 5,6-43,,,,Mo-Su 07:00-21:00,,,6.5550242,-73.1267016,osm,,,
9425601328,node,D1,,,,,,,,,,,,4.8627621,-74.0462782,osm,,,
9426899029,node,D1,D1,,,,,,,,,,,4.5074194,-75.6905002,osm,,,
9438276716,node,D1,,,,,,,,,,,,3.481473,-76.4994959,osm,,,
9450315617,node,D1,D1,,,Carrera 12 (Avenida Santander),,,,,Mo-Su 07:00-21:00,,,6.5550718,-73.1392532,osm,,,
9459030517,node,D1,,,,Avenida del Libertador,24-??,,,,Mo-Su 07:00-21:00,,,11.2408744,-74.1877364,osm,,,
9466543417,node,D1,,,,,,,,,Mo-Su 07:00-21:00,,,11.006461,-74.2509288,osm,,,
9469483517,node,D1,,,,Vía 40,,,,,Mo-Su 07:00-21:00,,,11.0253466,-74.8032293,osm,,,
9470359420,node,D1,,,,,,,,,Mo-Su 07:00-20:00,,,10.9882233,-74.9581064,osm,,,
9476607119,node,D1,D1,,,Avenida Daniel Lemaitre,,,,,Mo-Su 07:00-21:00,,,10.4232277,-75.5478511,osm,,,
9487067017,node,D1,D1,,,Calle 31D,,,,,Mo-Su 07:00-20:00,,,10.4065311,-75.4900903,osm,,,
9492898517,node,D1,D1,,,Carrera 53,,,,,Mo-Sa 08:00-21:00; Su 08:00-20:00,,https://d1.com.co/,4.6491261,-74.0871189,osm,,,
9496678617,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6694405,-74.0546973,osm,,,
